[3, 16, 30, 34, 37, 42]
[3, 5, 16, 19, 35, 39]
[1, 3, 17, 28, 34, 42]
[1, 3, 18, 21, 37, 41]
[10, 17, 24, 29, 32, 39]
[21, 23, 24, 28, 31, 35]
[1, 7, 11, 16, 25, 42]
[19, 22, 23, 24, 28, 45]
[6, 25, 29, 34, 39, 44]
[3, 6, 10, 26, 34, 42]
[7, 9, 10, 14, 18, 39]
[9, 18, 21, 33, 34, 37]
[8, 26, 29, 31, 37, 38]
[4, 10, 16, 20, 35, 40]
[7, 11, 18, 26, 30, 39]
[4, 15, 21, 22, 23, 35]
[6, 20, 22, 23, 29, 37]
[6, 8, 13, 30, 36, 38]
[2, 25, 27, 31, 38, 43]
[3, 18, 21, 31, 39, 43]
[7, 10, 18, 22, 23, 41]
[3, 4, 9, 12, 25, 41]
[15, 21, 25, 27, 28, 44]
[1, 2, 6, 14, 22, 41]
[1, 9, 12, 20, 23, 38]
[1, 8, 19, 23, 24, 43]
[5, 9, 16, 19, 21, 33]
[3, 19, 25, 30, 40, 41]
[5, 15, 22, 25, 35, 37]
[3, 5, 9, 27, 32, 33]
[2, 3, 12, 14, 30, 37]
[13, 15, 26, 27, 33, 44]
[4, 9, 16, 29, 37, 41]
[3, 13, 32, 33, 40, 45]
[7, 10, 24, 26, 37, 45]
[5, 6, 26, 28, 41, 45]
[1, 2, 3, 10, 39, 42]
[6, 13, 28, 29, 32, 42]
[19, 24, 29, 32, 35, 40]
[8, 9, 10, 35, 38, 45]
[21, 24, 29, 38, 40, 43]
[3, 11, 14, 29, 39, 45]
[1, 13, 14, 18, 31, 45]
[22, 26, 37, 41, 42, 43]
[3, 6, 11, 25, 31, 39]
[6, 17, 23, 30, 34, 43]
[22, 25, 28, 34, 35, 37]
[1, 11, 13, 19, 33, 40]
[4, 6, 13, 15, 32, 38]
[4, 13, 18, 31, 33, 40]
[3, 19, 23, 36, 39, 44]
[5, 10, 15, 21, 28, 43]
[23, 28, 30, 32, 39, 41]
[5, 6, 12, 20, 25, 40]
[10, 18, 20, 26, 27, 28]
[1, 9, 22, 24, 35, 36]
[3, 14, 21, 25, 35, 42]
[2, 3, 6, 15, 19, 37]
[9, 20, 31, 37, 38, 44]
[1, 8, 14, 20, 31, 42]
[4, 29, 33, 34, 42, 45]
[5, 10, 21, 35, 40, 43]
[19, 25, 27, 30, 43, 45]
[29, 30, 33, 36, 43, 44]
[9, 16, 29, 38, 40, 41]
[1, 7, 18, 24, 25, 26]
[1, 3, 29, 31, 37, 41]
[3, 13, 17, 20, 38, 39]
[1, 13, 15, 16, 30, 45]
[9, 14, 22, 27, 32, 44]
[1, 3, 12, 19, 39, 40]
[3, 11, 20, 23, 29, 34]
[5, 8, 15, 21, 28, 40]
[1, 10, 25, 26, 30, 35]
[3, 5, 13, 35, 37, 40]
[3, 19, 21, 24, 35, 39]
[7, 12, 31, 37, 41, 44]
[9, 13, 14, 18, 35, 39]
[2, 12, 19, 35, 38, 44]
[2, 10, 21, 27, 31, 44]
[2, 9, 16, 23, 24, 27]
[2, 3, 7, 20, 25, 37]
[2, 11, 26, 35, 43, 45]
[9, 14, 34, 36, 42, 44]
[5, 7, 19, 31, 38, 44]
[1, 5, 8, 13, 20, 31]
[2, 5, 7, 10, 14, 29]
[7, 18, 26, 33, 36, 38]
[8, 9, 19, 21, 31, 45]
[17, 30, 33, 37, 40, 42]
[1, 6, 13, 25, 34, 37]
[7, 10, 15, 25, 33, 43]
[6, 9, 14, 18, 29, 43]
[4, 6, 8, 19, 24, 38]
[26, 30, 34, 39, 42, 44]
[7, 12, 13, 17, 26, 44]
[8, 11, 12, 21, 28, 44]
[5, 12, 29, 42, 43, 44]
[13, 23, 26, 28, 30, 32]
[3, 8, 11, 13, 32, 37]
[5, 8, 24, 35, 37, 40]
[22, 27, 30, 34, 39, 43]
[12, 13, 17, 31, 36, 39]
[4, 5, 6, 22, 24, 35]
[1, 8, 17, 21, 38, 43]
[4, 9, 15, 23, 27, 29]
[2, 5, 13, 22, 33, 41]
[5, 8, 12, 19, 23, 37]
[11, 14, 28, 38, 40, 41]
[1, 22, 31, 32, 39, 45]
[1, 12, 14, 30, 41, 44]
[4, 12, 13, 31, 41, 43]
[12, 13, 16, 20, 24, 31]
[11, 12, 13, 18, 20, 27]
[4, 7, 18, 23, 36, 44]
[7, 10, 19, 21, 27, 37]
[15, 21, 25, 35, 40, 45]
[8, 14, 22, 30, 34, 39]
[5, 6, 16, 24, 31, 45]
[10, 12, 13, 29, 30, 41]
[4, 8, 11, 15, 17, 36]
[10, 19, 22, 23, 30, 36]
[1, 26, 29, 30, 33, 41]
[6, 13, 15, 26, 29, 35]
[7, 16, 17, 21, 22, 27]
[13, 17, 20, 33, 35, 39]
[8, 21, 26, 30, 34, 38]
[15, 22, 35, 37, 38, 42]
[1, 3, 5, 12, 23, 25]
[5, 10, 21, 23, 38, 45]
[7, 10, 22, 23, 30, 43]
[1, 7, 12, 23, 36, 45]
[10, 17, 18, 30, 33, 39]
[3, 13, 16, 34, 36, 39]
[14, 17, 29, 31, 34, 39]
[31, 32, 34, 35, 40, 43]
[9, 18, 24, 30, 35, 37]
[23, 27, 28, 30, 38, 41]
[2, 14, 15, 20, 32, 44]
[2, 3, 8, 10, 19, 37]
[2, 7, 11, 12, 25, 34]
[1, 10, 18, 24, 27, 30]
[2, 15, 26, 29, 31, 39]
[14, 25, 32, 35, 38, 39]
[3, 4, 10, 12, 19, 21]
[9, 11, 13, 18, 44, 45]
[2, 5, 6, 9, 21, 32]
[4, 20, 28, 31, 32, 41]
[3, 5, 23, 30, 39, 45]
[2, 6, 14, 17, 31, 38]
[2, 18, 26, 30, 32, 34]
[5, 17, 18, 22, 40, 44]
[1, 14, 16, 40, 41, 44]
[4, 18, 28, 33, 41, 42]
[1, 8, 9, 11, 22, 27]
[11, 13, 22, 26, 41, 43]
[1, 19, 24, 34, 35, 45]
[9, 16, 32, 39, 40, 44]
[2, 4, 6, 17, 31, 45]
[9, 17, 18, 22, 26, 35]
[9, 20, 28, 33, 34, 38]
[4, 11, 29, 35, 37, 40]
[4, 13, 26, 35, 37, 45]
[7, 16, 17, 23, 30, 42]
[2, 10, 14, 19, 29, 37]
[1, 2, 4, 18, 29, 30]
[3, 7, 8, 14, 22, 42]
[11, 12, 22, 36, 37, 45]
[16, 21, 22, 28, 29, 34]
[10, 24, 27, 28, 34, 39]
[12, 17, 21, 23, 35, 36]
[9, 14, 24, 26, 38, 42]
[1, 15, 21, 23, 24, 37]
[3, 6, 17, 19, 39, 40]
[6, 9, 11, 33, 37, 45]
[4, 5, 13, 15, 19, 43]
[7, 9, 19, 20, 28, 30]
[5, 7, 11, 31, 37, 44]
[10, 19, 22, 31, 43, 45]
[16, 18, 24, 36, 39, 45]
[6, 23, 26, 30, 39, 40]
[6, 18, 23, 39, 43, 45]
[14, 18, 31, 36, 39, 41]
[1, 31, 33, 39, 40, 42]
[1, 7, 10, 15, 32, 44]
[1, 9, 16, 20, 29, 33]
[2, 9, 29, 40, 44, 45]
[2, 3, 21, 31, 40, 42]
[4, 14, 27, 35, 37, 40]
[3, 17, 22, 24, 27, 29]
[7, 26, 31, 35, 39, 40]
[8, 10, 15, 22, 29, 44]
[9, 19, 22, 27, 33, 42]
[11, 14, 21, 25, 26, 34]
[10, 18, 20, 22, 26, 29]
[20, 24, 30, 32, 37, 39]
[14, 25, 27, 28, 38, 43]
[5, 14, 17, 25, 36, 38]
[3, 4, 6, 9, 21, 44]
[6, 12, 24, 33, 37, 44]
[9, 10, 11, 32, 38, 39]
[7, 10, 14, 23, 29, 39]
[3, 10, 11, 16, 23, 44]
[9, 15, 19, 25, 41, 43]
[2, 3, 25, 36, 41, 43]
[1, 15, 21, 28, 39, 42]
[5, 9, 15, 16, 35, 43]
[11, 33, 35, 36, 37, 38]
[5, 6, 7, 18, 26, 27]
[9, 11, 19, 26, 35, 38]
[2, 6, 23, 29, 30, 34]
[1, 7, 25, 28, 33, 40]
[17, 20, 23, 26, 29, 33]
[8, 10, 12, 19, 23, 24]
[16, 17, 19, 20, 33, 39]
[1, 2, 13, 17, 20, 29]
[1, 5, 10, 11, 20, 40]
[6, 7, 15, 21, 23, 40]
[4, 16, 17, 19, 26, 43]
[2, 8, 10, 20, 23, 34]
[2, 5, 17, 19, 32, 40]
[4, 5, 13, 14, 30, 35]
[4, 5, 6, 12, 30, 34]
[13, 16, 21, 30, 32, 38]
[13, 15, 27, 30, 41, 43]
[6, 12, 13, 33, 36, 44]
[5, 8, 10, 13, 18, 24]
[2, 5, 8, 12, 28, 32]
[1, 2, 6, 9, 10, 26]
[4, 26, 28, 29, 31, 37]
[1, 11, 20, 21, 40, 41]
[3, 5, 6, 28, 32, 44]
[2, 11, 19, 25, 36, 38]
[3, 22, 29, 42, 43, 44]
[1, 13, 15, 25, 26, 43]
[6, 10, 11, 15, 42, 43]
[1, 3, 21, 30, 36, 42]
[7, 8, 10, 40, 41, 42]
[1, 2, 5, 18, 23, 38]
[11, 15, 18, 29, 32, 35]
[13, 19, 28, 32, 40, 45]
[4, 12, 25, 32, 33, 41]
[9, 26, 30, 33, 40, 45]
[16, 18, 22, 39, 42, 43]
[8, 24, 32, 33, 38, 43]
[4, 14, 23, 35, 39, 41]
